Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year,Domestic %,Foreign %
1127,Last Vegas,134402450,63914167,47.6%,70488283,52.4%,2012.csv,2012,0.4755431690419334,0.5244568309580666
1128,The Rock,134069511,134069511,100%,0,-,1996.csv,1996,1.0,0.0
1129,The Cat in the Hat,133960541,101149285,75.5%,32811256,24.5%,2003.csv,2003,0.7550677553623795,0.24493224463762056
1130,Pokémon the Movie 2000,133949270,43758684,32.7%,90190586,67.3%,2000.csv,2000,0.32668101886632156,0.6733189811336785
1131,Point Break,133718711,28782481,21.5%,104936230,78.5%,2015.csv,2015,0.21524647362178057,0.7847535263782194
1132,The Big Short,133440870,70259870,52.7%,63181000,47.3%,2015.csv,2015,0.5265243699325401,0.47347563006745985
1133,The Artist,133432856,44671682,33.5%,88761174,66.5%,2011.csv,2011,0.33478772274798646,0.6652122772520136
1134,Tom & Jerry,133336687,46536687,34.9%,86800000,65.1%,2021.csv,2021,0.34901637386565637,0.6509836261343437
1135,1408,132963417,71985628,54.1%,60977789,45.9%,2007.csv,2007,0.5413942392891422,0.4586057607108578
1136,Zero Dark Thirty,132820716,95720716,72.1%,37100000,27.9%,2012.csv,2012,0.7206761029657452,0.2793238970342548
1137,A Wrinkle in Time,132675864,100478608,75.7%,32197256,24.3%,2018.csv,2018,0.7573239394921144,0.2426760605078856
1138,Ghost Rider: Spirit of Vengeance,132563930,51774002,39.1%,80789928,60.9%,2012.csv,2012,0.39055874399619867,0.6094412560038014
1139,V for Vendetta,132511035,70511035,53.2%,62000000,46.8%,2006.csv,2006,0.5321144386201496,0.4678855613798504
1140,Be Somebody,132326332,0,-,132326332,100%,2021.csv,2021,0.0,1.0
1141,The Three Musketeers,132274484,20374484,15.4%,111900000,84.6%,2011.csv,2011,0.1540318539439549,0.8459681460560451
1142,2 Guns,131940411,75612460,57.3%,56327951,42.7%,2013.csv,2013,0.5730803733815867,0.4269196266184134
1143,Blade: Trinity,131883935,52411906,39.7%,79472029,60.3%,2004.csv,2004,0.39740932813386254,0.6025906718661375
1144,Asterix at the Olympic Games,131856927,0,-,131856927,100%,2008.csv,2008,0.0,1.0
1145,Save the Last Dance,131706809,91057006,69.1%,40649803,30.9%,2001.csv,2001,0.6913614162499374,0.3086385837500626
