Rank,Release Group,Worldwide,Domestic,%,Foreign,%
144,Hostage: Missing Celebrity,"$13,125,970",-,-,"$13,125,970",100%
145,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
146,Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
147,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
148,The Bodin's in the Land of Smile,"$12,872,253",-,-,"$12,872,253",100%
149,The Many Saints of Newark,"$12,737,403","$8,237,403",64.7%,"$4,500,000",35.3%
150,Character,"$12,571,501",-,-,"$12,571,501",100%
151,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
152,Legend No. 17,"$12,049,148",-,-,"$12,049,148",100%
153,The Worst Person in the World,"$12,034,733","$3,034,775",25.2%,"$8,999,958",74.8%
154,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
155,On the Line,"$11,772,156",-,-,"$11,772,156",100%
156,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
157,What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%
158,Aline,"$11,149,820","$667,692",6%,"$10,482,128",94%
159,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$10,962,141","$799,342",7.3%,"$10,162,799",92.7%
160,Krack,"$10,442,916",-,-,"$10,442,916",100%
161,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
162,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
163,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
164,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
165,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
166,Black Box,"$9,738,741",-,-,"$9,738,741",100%
167,Sumikko Gurashi The Movie: The Magical Child Of The Blue Moonlit Night,"$9,735,732",-,-,"$9,735,732",100%
168,Ainbo,"$9,711,938",-,-,"$9,711,938",100%
169,The Soul,"$9,600,000",-,-,"$9,600,000",100%
170,¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%
171,Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%
172,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
173,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
174,The Vault,"$8,803,864",-,-,"$8,803,864",100%
175,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
176,The Protégé,"$8,639,684","$7,446,823",86.2%,"$1,192,861",13.8%
177,The Medium,"$8,529,010",-,-,"$8,529,010",100%
178,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
179,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
180,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
181,Delicious,"$8,282,052",-,-,"$8,282,052",100%
182,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
183,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
184,Lost Illusions,"$8,162,814",-,-,"$8,162,814",100%
185,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
186,Silver Skates,"$7,891,319",-,-,"$7,891,319",100%
187,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
188,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
189,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
190,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%
191,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
192,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%
193,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
194,Signal: The Movie,"$7,388,603",-,-,"$7,388,603",100%
195,'83,"$7,351,061","$4,055,660",55.2%,"$3,295,401",44.8%
196,Contra,"$7,216,863",-,-,"$7,216,863",100%
197,Dear Tutu: Operation T-Rex,"$7,200,000",-,-,"$7,200,000",100%
198,Water Boys,"$7,200,000",-,-,"$7,200,000",100%
199,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
200,Tri bogatyrya i Kon' na trone,"$7,056,441",-,-,"$7,056,441",100%
